Café;Species;Country_Origin;Fragrance_Aroma;Flavor;Aftertaste;Salt_Acid;Mouthfeel;Balance;Bitter_Sweet;Uniform_Cup;Clean_Cup;Cupper_Points;quality_score
240;Arabica;Colombia;7.83;7.75;7.58;7.67;7.83;10.00;7.75;10.00;10.00; 7.75;84.17
241;Arabica;Costa Rica;7.92;7.75;7.67;7.67;7.67;10.00;7.50;10.00;10.00; 8.00;84.17
242;Arabica;Guatemala;7.75;7.75;7.58;8.00;7.83;10.00;7.67;10.00;10.00; 7.58;84.17
243;Arabica;Guatemala;7.75;7.92;7.58;7.92;7.67;10.00;7.67;10.00;10.00; 7.67;84.17
244;Arabica;Guatemala;7.58;7.83;7.58;7.83;7.67;10.00;7.83;10.00;10.00; 7.83;84.17
245;Arabica;Colombia;8.00;7.50;7.50;7.67;7.83;10.00;8.00;10.00;10.00; 7.67;84.17
246;Arabica;Nicaragua;7.67;7.83;7.83;7.50;7.83;10.00;7.67;10.00;10.00; 7.83;84.17
247;Arabica;Brazil;7.67;7.75;7.75;7.67;7.75;10.00;7.83;10.00;10.00; 7.75;84.17
248;Arabica;Costa Rica;7.67;7.75;7.67;7.75;8.00;10.00;7.50;10.00;10.00; 7.83;84.17
249;Arabica;Ethiopia;7.50;7.92;7.58;7.83;7.83;10.00;7.75;10.00;10.00; 7.75;84.17
250;Arabica;Tanzania, United Republic Of;7.92;7.75;7.75;7.75;7.58;10.00;7.75;10.00;10.00; 7.67;84.17
251;Arabica;Colombia;7.67;7.50;7.67;7.42;8.58;10.00;7.83;10.00;10.00; 7.50;84.17
252;Arabica;Guatemala;7.67;7.75;7.67;7.75;7.75;10.00;7.75;10.00;10.00; 7.83;84.17
253;Arabica;Kenya;7.58;7.75;7.75;7.75;7.83;10.00;7.75;10.00;10.00; 7.75;84.17
254;Arabica;Brazil;7.58;7.83;7.75;7.67;8.00;10.00;7.67;10.00;10.00; 7.67;84.17
255;Arabica;Guatemala;7.92;7.75;7.67;7.67;7.92;10.00;7.83;10.00;10.00; 7.42;84.17
256;Arabica;El Salvador;8.42;8.08;7.50;7.17;8.17;10.00;7.58; 9.33;10.00; 7.92;84.17
257;Arabica;Colombia;7.75;7.75;7.75;7.75;7.75;10.00;7.83;10.00;10.00; 7.58;84.17
258;Arabica;Guatemala;7.83;7.50;7.50;8.00;7.83;10.00;7.83;10.00;10.00; 7.67;84.17
259;Arabica;Uganda;7.83;7.75;7.50;7.83;7.75;10.00;7.83;10.00;10.00; 7.67;84.17
260;Arabica;Indonesia;7.81;7.88;7.56;7.75;7.75;10.00;7.63;10.00;10.00; 7.75;84.13
261;Arabica;Colombia;7.83;7.50;7.42;7.50;8.50;10.00;7.83;10.00;10.00; 7.50;84.08
262;Arabica;Taiwan;7.58;7.67;7.67;7.67;7.83;10.00;7.75;10.00;10.00; 7.92;84.08
263;Arabica;Guatemala;8.00;7.75;7.50;7.58;7.67;10.00;7.92;10.00;10.00; 7.67;84.08
264;Arabica;Colombia;7.92;7.75;7.67;7.75;7.67;10.00;7.67;10.00;10.00; 7.67;84.08
265;Arabica;Guatemala;7.58;7.75;7.67;8.00;7.67;10.00;7.75;10.00;10.00; 7.67;84.08
266;Arabica;United States (Hawaii);7.83;7.75;7.83;7.83;8.08;10.00;7.42; 9.33;10.00; 8.00;84.08
267;Arabica;Mexico;7.67;7.75;7.67;7.75;7.75;10.00;7.67;10.00;10.00; 7.83;84.08
268;Arabica;Ethiopia;7.92;7.92;7.83;8.00;7.92; 8.67;7.92;10.00;10.00; 7.92;84.08
269;Arabica;Costa Rica;7.58;7.75;7.67;7.75;7.75;10.00;7.83;10.00;10.00; 7.67;84.00
270;Arabica;Ethiopia;7.83;7.75;7.67;7.75;7.75;10.00;7.33;10.00;10.00; 7.92;84.00
271;Arabica;Honduras;7.42;7.83;7.75;7.92;7.58;10.00;7.75;10.00;10.00; 7.75;84.00
272;Arabica;Guatemala;7.67;7.83;7.58;7.92;7.67;10.00;7.75;10.00;10.00; 7.58;84.00
273;Arabica;Colombia;7.67;7.67;7.83;7.58;7.83;10.00;7.58;10.00;10.00; 7.83;84.00
274;Arabica;Guatemala;7.92;7.67;7.42;7.92;7.83;10.00;7.75;10.00;10.00; 7.50;84.00
275;Arabica;Guatemala;7.75;7.83;7.50;7.83;7.67;10.00;7.58;10.00;10.00; 7.83;84.00
276;Arabica;Colombia;7.67;7.75;7.67;7.67;7.75;10.00;7.67;10.00;10.00; 7.83;84.00
277;Arabica;Colombia;7.58;7.42;7.75;7.92;7.92;10.00;7.75;10.00;10.00; 7.67;84.00
278;Arabica;Colombia;7.67;7.67;7.50;7.50;7.67;10.00;7.67;10.00;10.00; 8.33;84.00
279;Arabica;Ethiopia;7.75;7.75;7.50;7.58;7.92;10.00;7.67;10.00;10.00; 7.83;84.00
280;Arabica;Brazil;7.58;7.83;7.67;7.25;7.75;10.00;8.00;10.00;10.00; 7.92;84.00
281;Arabica;Colombia;7.67;7.83;7.67;7.75;7.75;10.00;7.67;10.00;10.00; 7.67;84.00
282;Arabica;Kenya;7.67;7.83;7.50;7.75;7.67;10.00;7.92;10.00;10.00; 7.67;84.00
283;Arabica;Thailand;7.92;8.17;8.17;8.42;8.17; 9.33;8.08; 8.67; 8.67; 8.42;84.00
284;Arabica;Kenya;7.67;7.75;7.67;7.75;7.67;10.00;7.83;10.00;10.00; 7.67;84.00
285;Arabica;Uganda;7.92;7.75;7.58;7.67;7.83;10.00;7.67;10.00;10.00; 7.58;84.00
286;Arabica;Thailand;7.58;7.75;7.58;7.75;7.75;10.00;7.58;10.00;10.00; 8.00;84.00
287;Arabica;Brazil;7.50;7.75;7.58;7.50;7.50;10.00;7.58;10.00;10.00; 8.50;83.92
288;Arabica;Mexico;7.83;7.83;7.58;7.92;7.50;10.00;7.42;10.00;10.00; 7.83;83.92
289;Arabica;Thailand;7.67;7.75;7.50;7.67;7.83;10.00;7.67;10.00;10.00; 7.83;83.92
290;Arabica;Brazil;7.58;7.67;7.67;7.75;7.83;10.00;7.58;10.00;10.00; 7.83;83.92
291;Arabica;Taiwan;7.83;7.75;7.83;7.75;7.75;10.00;7.83; 9.33;10.00; 7.83;83.92
292;Arabica;Colombia;7.75;7.67;7.50;7.75;7.75;10.00;7.83;10.00;10.00; 7.67;83.92
293;Arabica;Colombia;7.75;7.58;7.50;7.83;7.92;10.00;7.75;10.00;10.00; 7.58;83.92
294;Arabica;Taiwan;7.75;7.75;7.58;7.75;7.67;10.00;7.75;10.00;10.00; 7.67;83.92
295;Arabica;Colombia;7.92;7.67;7.50;7.83;7.67;10.00;7.58;10.00;10.00; 7.75;83.92
296;Arabica;Colombia;7.83;7.75;7.58;7.58;7.75;10.00;7.75;10.00;10.00; 7.67;83.92
297;Arabica;Colombia;7.75;7.58;7.67;7.83;7.67;10.00;7.83;10.00;10.00; 7.58;83.92
298;Arabica;Taiwan;8.00;7.92;7.92;7.92;7.33;10.00;7.67;10.00;10.00; 7.17;83.92
299;Arabica;Colombia;7.67;7.83;7.67;7.75;7.83;10.00;7.67;10.00;10.00; 7.50;83.92
300;Arabica;Mexico;7.67;7.75;7.58;7.67;7.83;10.00;7.75;10.00;10.00; 7.67;83.92
301;Arabica;Mexico;7.50;7.67;7.58;7.83;7.75;10.00;7.75;10.00;10.00; 7.83;83.92
302;Arabica;Mexico;7.75;7.92;7.83;7.92;7.67;10.00;7.75; 9.33;10.00; 7.75;83.92
303;Arabica;Colombia;7.92;7.58;7.50;7.83;7.67;10.00;7.58;10.00;10.00; 7.75;83.83
304;Arabica;Colombia;7.83;7.67;7.50;7.75;7.75;10.00;7.75;10.00;10.00; 7.58;83.83
305;Arabica;Costa Rica;7.67;7.67;7.75;7.67;7.75;10.00;7.50;10.00;10.00; 7.83;83.83
306;Arabica;Guatemala;7.75;7.75;7.50;7.75;7.58;10.00;7.83;10.00;10.00; 7.67;83.83
307;Arabica;Taiwan;7.75;7.67;7.50;7.75;7.67;10.00;7.75;10.00;10.00; 7.75;83.83
308;Arabica;Brazil;7.25;7.58;7.42;8.00;7.83;10.00;7.75;10.00;10.00; 8.00;83.83
309;Arabica;Taiwan;7.67;7.75;7.67;7.75;7.75;10.00;7.42;10.00;10.00; 7.83;83.83
310;Arabica;Ethiopia;7.75;7.75;7.67;7.67;7.67;10.00;7.58;10.00;10.00; 7.75;83.83
311;Arabica;Brazil;7.67;7.67;7.58;7.50;8.17; 9.33;7.83;10.00;10.00; 8.08;83.83
312;Arabica;Costa Rica;7.83;7.42;7.50;7.83;7.83;10.00;7.75;10.00;10.00; 7.67;83.83
313;Arabica;Guatemala;7.58;7.83;7.33;8.00;7.75;10.00;7.58;10.00;10.00; 7.75;83.83
314;Arabica;Brazil;7.92;7.50;7.33;7.67;7.50;10.00;8.17;10.00;10.00; 7.75;83.83
315;Arabica;Ecuador;7.50;7.67;7.58;7.75;7.83;10.00;7.83;10.00;10.00; 7.67;83.83
316;Arabica;Colombia;7.67;7.58;7.58;7.83;7.67;10.00;7.58;10.00;10.00; 7.92;83.83
317;Arabica;Guatemala;7.50;7.83;7.50;7.83;7.67;10.00;7.83;10.00;10.00; 7.67;83.83
318;Arabica;Mexico;7.67;8.00;7.67;7.42;7.50;10.00;7.67;10.00;10.00; 7.92;83.83
319;Arabica;Mexico;7.67;7.58;7.50;7.75;7.75;10.00;7.75;10.00;10.00; 7.83;83.83
320;Arabica;Brazil;7.83;7.83;7.58;7.67;7.58;10.00;7.50;10.00;10.00; 7.83;83.83
321;Arabica;Thailand;7.75;7.75;7.58;8.00;7.58;10.00;7.67;10.00;10.00; 7.50;83.83
322;Arabica;Thailand;7.50;7.83;7.58;7.58;7.83;10.00;7.75;10.00;10.00; 7.75;83.83
323;Arabica;Ethiopia;7.58;7.83;7.58;8.00;7.50;10.00;7.83;10.00;10.00; 7.50;83.83
324;Arabica;Kenya;7.75;7.58;7.50;7.58;7.75;10.00;7.75;10.00;10.00; 7.83;83.75
325;Arabica;Brazil;7.67;7.67;7.58;7.75;7.67;10.00;7.67;10.00;10.00; 7.75;83.75
326;Arabica;Colombia;7.83;7.83;7.58;7.58;7.58;10.00;7.58;10.00;10.00; 7.75;83.75
327;Arabica;Taiwan;7.67;7.67;7.58;7.58;7.83;10.00;7.67;10.00;10.00; 7.75;83.75
328;Arabica;Colombia;7.92;7.75;7.50;7.67;7.50;10.00;7.75;10.00;10.00; 7.67;83.75
329;Arabica;China;7.83;7.75;7.67;7.50;7.67;10.00;7.58;10.00;10.00; 7.75;83.75
330;Arabica;Colombia;7.75;7.67;7.50;7.67;7.83;10.00;7.58;10.00;10.00; 7.75;83.75
331;Arabica;Uganda;8.00;7.92;7.58;7.75;7.50;10.00;7.33;10.00;10.00; 7.67;83.75
332;Arabica;United States (Puerto Rico);7.83;7.83;7.83;7.67;8.17;10.00;8.00; 9.33; 9.33; 7.75;83.75
333;Arabica;Colombia;7.67;7.67;7.67;7.92;7.67;10.00;7.50;10.00;10.00; 7.67;83.75
334;Arabica;Colombia;7.67;7.42;7.42;7.42;8.33;10.00;8.00;10.00;10.00; 7.50;83.75
335;Arabica;Colombia;7.58;7.67;7.75;7.67;7.67;10.00;7.67;10.00;10.00; 7.75;83.75
336;Arabica;Colombia;7.75;7.67;7.75;7.58;8.00;10.00;7.42;10.00;10.00; 7.58;83.75
337;Arabica;United States (Hawaii);7.25;7.42;7.67;7.58;8.25;10.00;7.83;10.00;10.00; 7.75;83.75
338;Arabica;Mexico;7.83;7.58;7.58;7.50;7.67;10.00;7.75;10.00;10.00; 7.83;83.75
339;Arabica;Guatemala;7.67;7.58;7.58;7.67;7.75;10.00;7.75;10.00;10.00; 7.75;83.75
340;Arabica;Colombia;7.83;7.83;7.58;7.33;7.67;10.00;7.42;10.00;10.00; 8.08;83.75
341;Arabica;Colombia;7.75;7.67;7.25;7.25;8.50;10.00;7.58;10.00;10.00; 7.75;83.75
342;Arabica;United States (Hawaii);7.83;7.67;7.75;7.67;7.50;10.00;7.58;10.00;10.00; 7.75;83.75
343;Arabica;Brazil;7.67;7.83;7.50;7.67;7.50;10.00;7.67;10.00;10.00; 7.83;83.67
344;Arabica;Kenya;8.08;7.67;7.67;7.58;7.67;10.00;7.25;10.00;10.00; 7.75;83.67
345;Arabica;Honduras;7.50;7.50;7.67;7.67;8.00;10.00;8.00;10.00;10.00; 7.33;83.67
346;Arabica;Nicaragua;7.67;7.75;7.67;7.67;7.58;10.00;7.83;10.00;10.00; 7.50;83.67
347;Arabica;Brazil;7.58;7.75;7.58;7.75;7.58;10.00;7.58;10.00;10.00; 7.83;83.67
348;Arabica;Taiwan;7.50;7.67;7.33;7.92;7.67;10.00;7.83;10.00;10.00; 7.75;83.67
349;Arabica;Costa Rica;7.33;7.67;7.67;7.50;7.50;10.00;7.67;10.00;10.00; 8.33;83.67
350;Arabica;Thailand;7.50;7.75;7.58;7.83;7.58;10.00;7.67;10.00;10.00; 7.75;83.67
351;Arabica;Colombia;7.50;7.75;7.50;7.75;7.67;10.00;7.67;10.00;10.00; 7.83;83.67
352;Arabica;Guatemala;8.00;7.50;7.33;8.00;8.00;10.00;8.00; 9.33;10.00; 7.50;83.67
353;Arabica;Colombia;7.83;7.75;7.67;7.58;7.67;10.00;7.58;10.00;10.00; 7.58;83.67
354;Arabica;Colombia;7.67;7.67;7.67;7.67;7.75;10.00;7.33;10.00;10.00; 7.92;83.67
355;Arabica;Guatemala;7.67;7.67;7.42;7.67;7.75;10.00;8.00;10.00;10.00; 7.50;83.67
356;Arabica;Guatemala;7.83;7.67;7.33;7.67;7.83;10.00;7.67;10.00;10.00; 7.67;83.67
357;Arabica;Colombia;7.75;7.75;7.58;7.83;7.75;10.00;7.17;10.00;10.00; 7.83;83.67
358;Arabica;Guatemala;8.17;8.17;7.83;7.67;7.75; 9.33;8.08; 9.33; 9.33; 8.00;83.67
359;Arabica;Guatemala;7.67;8.17;7.50;7.42;7.83;10.00;7.58;10.00;10.00; 7.50;83.67
360;Arabica;Mexico;7.67;7.50;7.50;7.33;8.25;10.00;7.83;10.00;10.00; 7.58;83.67
361;Arabica;Indonesia;8.17;7.67;7.58;7.58;7.67;10.00;7.42;10.00;10.00; 7.58;83.67
362;Arabica;Guatemala;7.67;7.50;7.33;8.00;7.67;10.00;7.67;10.00;10.00; 7.83;83.67
363;Arabica;United States (Hawaii);7.75;8.00;7.92;8.08;8.00; 9.33;7.75; 9.33; 9.33; 8.17;83.67
364;Arabica;Brazil;7.58;7.67;7.58;7.58;7.58;10.00;7.67;10.00;10.00; 7.92;83.58
365;Arabica;Guatemala;7.75;7.75;7.50;7.83;7.58;10.00;7.58;10.00;10.00; 7.58;83.58
366;Arabica;Colombia;7.75;7.75;7.58;7.58;7.58;10.00;7.67;10.00;10.00; 7.67;83.58
367;Arabica;China;7.67;7.58;7.58;7.58;7.75;10.00;7.67;10.00;10.00; 7.75;83.58
368;Arabica;Colombia;7.67;7.75;7.58;7.67;7.58;10.00;7.75;10.00;10.00; 7.58;83.58
369;Arabica;Mexico;7.75;7.75;7.58;7.58;7.67;10.00;7.50;10.00;10.00; 7.75;83.58
370;Arabica;Ethiopia;7.75;7.67;7.58;7.67;7.67;10.00;7.50;10.00;10.00; 7.75;83.58
371;Arabica;Uganda;7.67;7.67;7.42;7.75;7.67;10.00;7.75;10.00;10.00; 7.67;83.58
372;Arabica;Colombia;7.67;7.58;7.67;7.67;7.67;10.00;7.67;10.00;10.00; 7.67;83.58
373;Arabica;Colombia;7.67;7.58;7.67;7.58;7.75;10.00;7.67;10.00;10.00; 7.67;83.58
374;Arabica;Colombia;7.75;7.58;7.50;7.58;7.83;10.00;7.75;10.00;10.00; 7.58;83.58
375;Arabica;Taiwan;7.75;7.75;7.75;7.75;7.58;10.00;7.50;10.00;10.00; 7.50;83.58
376;Arabica;Colombia;7.67;7.67;7.58;7.67;7.58;10.00;7.75;10.00;10.00; 7.67;83.58
377;Arabica;Mexico;7.83;7.67;7.58;7.58;7.58;10.00;7.67;10.00;10.00; 7.67;83.58
378;Arabica;Colombia;7.67;7.58;7.58;7.58;7.75;10.00;7.67;10.00;10.00; 7.75;83.58
379;Arabica;Brazil;7.83;7.75;7.50;7.75;7.58;10.00;7.50;10.00;10.00; 7.67;83.58
380;Arabica;Colombia;7.75;7.58;7.58;7.75;7.50;10.00;7.75;10.00;10.00; 7.58;83.50
381;Arabica;Taiwan;7.58;7.58;7.17;7.17;7.00;10.00;7.00;10.00;10.00;10.00;83.50
382;Arabica;Costa Rica;7.92;7.42;7.50;7.67;7.67;10.00;7.50;10.00;10.00; 7.83;83.50
383;Arabica;Colombia;7.75;7.58;7.58;7.50;7.75;10.00;7.75;10.00;10.00; 7.58;83.50
384;Arabica;Guatemala;7.67;7.75;7.50;7.83;7.58;10.00;7.58;10.00;10.00; 7.58;83.50
385;Arabica;Colombia;7.58;7.58;7.58;7.58;7.67;10.00;7.75;10.00;10.00; 7.75;83.50
386;Arabica;Tanzania, United Republic Of;7.75;7.67;7.58;7.67;7.58;10.00;7.67;10.00;10.00; 7.58;83.50
387;Arabica;Indonesia;7.25;7.67;7.58;7.92;7.58;10.00;7.83;10.00;10.00; 7.67;83.50
388;Arabica;Ethiopia;7.67;7.75;7.50;7.58;7.67;10.00;7.75;10.00;10.00; 7.58;83.50
389;Arabica;Colombia;7.67;7.42;7.67;7.83;7.67;10.00;7.58;10.00;10.00; 7.67;83.50
390;Arabica;Colombia;8.00;7.58;7.25;7.58;7.58;10.00;7.92;10.00;10.00; 7.58;83.50
391;Arabica;Guatemala;7.58;7.75;7.50;7.83;7.67;10.00;7.42;10.00;10.00; 7.75;83.50
392;Arabica;Colombia;7.75;7.58;7.33;7.50;7.83;10.00;7.83;10.00;10.00; 7.67;83.50
393;Arabica;Honduras;7.67;7.50;7.67;7.50;7.67;10.00;7.67;10.00;10.00; 7.83;83.50
394;Arabica;Colombia;7.58;7.75;7.42;7.67;7.67;10.00;7.75;10.00;10.00; 7.67;83.50
395;Arabica;Colombia;7.58;7.67;7.58;7.75;7.75;10.00;7.58;10.00;10.00; 7.58;83.50
396;Arabica;Mexico;7.83;7.58;7.25;7.50;7.42;10.00;7.50;10.00;10.00; 8.42;83.50
397;Arabica;Mexico;7.67;7.75;7.67;7.75;7.50;10.00;7.58;10.00;10.00; 7.58;83.50
398;Arabica;Mexico;7.75;7.67;7.67;7.75;7.50;10.00;7.33;10.00;10.00; 7.83;83.50
399;Arabica;Guatemala;7.83;7.50;7.50;8.00;7.50;10.00;7.67;10.00;10.00; 7.50;83.50
400;Arabica;Colombia;7.67;7.58;7.58;7.67;7.67;10.00;7.67;10.00;10.00; 7.67;83.50
401;Arabica;Guatemala;7.50;7.50;7.75;7.50;7.67;10.00;8.00;10.00;10.00; 7.58;83.50
402;Arabica;United States (Hawaii);7.50;7.67;7.58;7.92;7.67;10.00;7.58;10.00;10.00; 7.58;83.50
403;Arabica;Indonesia;7.83;7.58;7.58;7.58;7.58;10.00;7.75;10.00;10.00; 7.58;83.50
404;Arabica;Colombia;7.50;7.58;7.58;7.50;7.83;10.00;7.75;10.00;10.00; 7.67;83.42
405;Arabica;Guatemala;7.67;7.75;7.50;7.58;7.67;10.00;7.58;10.00;10.00; 7.67;83.42
406;Arabica;Colombia;7.67;7.67;7.50;7.67;7.58;10.00;7.67;10.00;10.00; 7.67;83.42
407;Arabica;Costa Rica;7.58;7.50;7.42;7.92;7.67;10.00;7.50;10.00;10.00; 7.83;83.42
408;Arabica;Taiwan;7.67;7.67;7.00;7.08;7.00;10.00;7.00;10.00;10.00;10.00;83.42
409;Arabica;Uganda;7.58;7.75;7.33;7.75;7.58;10.00;7.67;10.00;10.00; 7.75;83.42
410;Arabica;Thailand;7.50;7.58;7.75;7.50;7.67;10.00;7.75;10.00;10.00; 7.67;83.42
411;Arabica;El Salvador;7.58;7.50;7.75;7.58;7.67;10.00;7.75;10.00;10.00; 7.58;83.42
412;Arabica;Colombia;7.58;7.67;7.58;7.67;7.67;10.00;7.58;10.00;10.00; 7.67;83.42
413;Arabica;Brazil;7.33;7.83;7.75;7.50;7.83;10.00;7.42;10.00;10.00; 7.75;83.42
414;Arabica;Tanzania, United Republic Of;7.75;7.67;7.58;7.67;7.58;10.00;7.58;10.00;10.00; 7.58;83.42
415;Arabica;Colombia;7.58;7.58;7.25;7.75;8.58;10.00;7.75; 9.33;10.00; 7.58;83.42
416;Arabica;Guatemala;7.75;7.83;7.33;7.83;7.67;10.00;7.50;10.00;10.00; 7.50;83.42
417;Arabica;Guatemala;7.67;7.75;7.50;7.83;7.50;10.00;7.58;10.00;10.00; 7.58;83.42
418;Arabica;Guatemala;7.67;7.50;7.75;7.42;7.75;10.00;7.75;10.00;10.00; 7.58;83.42
419;Arabica;United States (Hawaii);7.42;7.75;7.67;7.58;7.67;10.00;7.67;10.00;10.00; 7.67;83.42
420;Arabica;Colombia;7.50;7.75;7.58;7.50;7.75;10.00;7.67;10.00;10.00; 7.67;83.42
421;Arabica;Colombia;7.58;7.58;7.58;7.67;7.67;10.00;7.75;10.00;10.00; 7.58;83.42
422;Arabica;United States (Hawaii);7.50;7.92;7.42;7.67;7.58;10.00;7.83;10.00;10.00; 7.50;83.42
423;Arabica;Thailand;7.58;7.25;7.50;7.92;7.42;10.00;7.92;10.00;10.00; 7.83;83.42
424;Arabica;Mexico;7.25;7.88;7.38;7.63;8.75;10.00;7.50; 9.00;10.00; 8.00;83.38
425;Arabica;Colombia;7.75;7.50;7.75;7.58;7.58;10.00;7.58;10.00;10.00; 7.58;83.33
426;Arabica;Colombia;7.67;7.58;7.58;7.42;7.75;10.00;7.67;10.00;10.00; 7.67;83.33
427;Arabica;Colombia;7.83;7.58;7.58;7.58;7.58;10.00;7.50;10.00;10.00; 7.67;83.33
428;Arabica;Brazil;7.50;7.83;7.33;7.58;7.92;10.00;7.58;10.00;10.00; 7.58;83.33
429;Arabica;Mexico;7.75;7.75;7.50;7.67;7.58;10.00;7.50;10.00;10.00; 7.58;83.33
430;Arabica;Colombia;7.67;7.75;7.42;7.83;7.42;10.00;7.83;10.00;10.00; 7.42;83.33
431;Arabica;Tanzania, United Republic Of;7.75;7.58;7.67;7.58;7.58;10.00;7.58;10.00;10.00; 7.58;83.33
432;Arabica;Mexico;7.67;7.67;7.58;7.67;7.58;10.00;7.50;10.00;10.00; 7.67;83.33
433;Arabica;Costa Rica;7.67;7.67;7.42;7.67;7.67;10.00;7.67;10.00;10.00; 7.58;83.33
434;Arabica;United States (Hawaii);7.83;7.58;7.83;7.67;8.00; 9.33;7.92; 9.33;10.00; 7.83;83.33
435;Arabica;Costa Rica;7.50;7.67;7.67;7.50;7.17;10.00;7.83;10.00;10.00; 8.00;83.33
436;Arabica;Peru;7.83;7.75;7.58;7.83;7.58;10.00;7.92; 9.33;10.00; 7.50;83.33
437;Arabica;Haiti;7.58;7.50;7.67;7.50;7.42;10.00;7.83;10.00;10.00; 7.83;83.33
438;Arabica;Colombia;7.67;7.67;7.50;7.67;7.42;10.00;7.92;10.00;10.00; 7.50;83.33
439;Arabica;Guatemala;7.83;7.67;7.17;7.67;7.67;10.00;7.67;10.00;10.00; 7.67;83.33
440;Arabica;United States (Hawaii);7.92;7.50;7.58;7.83;7.67;10.00;7.67; 9.33;10.00; 7.83;83.33
441;Arabica;Burundi;7.75;7.67;7.33;7.50;7.75;10.00;7.50;10.00;10.00; 7.83;83.33
442;Arabica;Colombia;7.50;7.67;7.67;7.58;7.58;10.00;7.67;10.00;10.00; 7.67;83.33
443;Arabica;United States (Hawaii);8.08;7.83;7.83;7.75;7.58; 9.33;7.67; 9.33;10.00; 7.92;83.33
444;Arabica;United States (Hawaii);7.58;7.67;7.58;7.50;7.67;10.00;7.83;10.00;10.00; 7.50;83.33
445;Arabica;Mexico;7.67;7.83;7.42;7.83;7.50;10.00;7.33;10.00;10.00; 7.67;83.25
446;Arabica;Costa Rica;7.50;7.50;7.83;7.50;7.67;10.00;7.67;10.00;10.00; 7.58;83.25
447;Arabica;Costa Rica;7.83;7.50;7.42;7.67;7.67;10.00;7.50;10.00;10.00; 7.67;83.25
448;Arabica;Guatemala;7.50;7.58;7.42;7.83;7.58;10.00;7.67;10.00;10.00; 7.67;83.25
449;Arabica;Uganda;7.50;7.67;7.67;7.42;7.67;10.00;7.67;10.00;10.00; 7.67;83.25
450;Arabica;Brazil;7.58;7.67;7.42;7.50;7.42;10.00;7.67;10.00;10.00; 8.00;83.25
451;Arabica;Colombia;7.58;7.67;7.67;7.17;7.83;10.00;7.75;10.00;10.00; 7.58;83.25
452;Arabica;Mexico;7.83;7.75;7.50;7.58;7.58;10.00;7.58;10.00;10.00; 7.42;83.25
453;Arabica;Taiwan;7.67;7.50;7.50;7.50;7.83;10.00;7.67;10.00;10.00; 7.58;83.25
454;Arabica;Taiwan;7.92;7.83;7.75;7.58;7.33;10.00;7.50;10.00;10.00; 7.33;83.25
455;Arabica;Colombia;7.58;7.58;7.50;7.58;7.75;10.00;7.58;10.00;10.00; 7.67;83.25
456;Arabica;Guatemala;7.50;7.67;7.58;7.67;7.50;10.00;7.67;10.00;10.00; 7.67;83.25
457;Arabica;Colombia;7.83;7.50;7.67;7.33;7.67;10.00;7.67;10.00;10.00; 7.58;83.25
458;Arabica;Mexico;7.58;7.75;7.50;7.50;7.58;10.00;7.58;10.00;10.00; 7.75;83.25
459;Arabica;United States (Hawaii);7.58;7.75;7.83;8.00;7.67; 9.33;8.08; 9.33;10.00; 7.67;83.25
460;Arabica;Mexico;7.75;7.58;7.58;7.58;7.58;10.00;7.50;10.00;10.00; 7.67;83.25
461;Arabica;Mexico;7.75;7.75;7.42;7.92;7.50;10.00;7.33;10.00;10.00; 7.58;83.25
462;Arabica;Guatemala;7.83;7.58;7.08;7.83;8.08;10.00;7.42;10.00;10.00; 7.42;83.25
463;Arabica;Brazil;7.75;7.67;7.50;7.58;7.58;10.00;7.58;10.00;10.00; 7.58;83.25
464;Arabica;Colombia;7.67;7.58;7.58;7.42;7.58;10.00;7.83;10.00;10.00; 7.58;83.25
465;Arabica;Colombia;7.67;7.67;7.50;7.50;7.67;10.00;7.58;10.00;10.00; 7.67;83.25
466;Arabica;Colombia;7.92;7.75;7.25;7.42;7.58;10.00;7.83;10.00;10.00; 7.50;83.25
467;Arabica;Colombia;8.00;7.67;7.67;7.25;7.50;10.00;7.67;10.00;10.00; 7.50;83.25
468;Arabica;Colombia;7.92;7.75;7.50;7.42;7.67;10.00;7.42;10.00;10.00; 7.58;83.25
469;Arabica;Brazil;7.67;7.42;7.50;7.58;7.58;10.00;7.67;10.00;10.00; 7.75;83.17
470;Arabica;Guatemala;7.58;7.58;7.33;7.67;7.58;10.00;7.75;10.00;10.00; 7.67;83.17
471;Arabica;Tanzania, United Republic Of;7.67;7.58;7.42;7.67;7.58;10.00;7.67;10.00;10.00; 7.58;83.17
472;Arabica;Peru;7.92;7.50;7.50;7.58;7.50;10.00;7.67;10.00;10.00; 7.50;83.17
473;Arabica;Vietnam;7.58;7.42;7.08;7.33;8.58;10.00;7.58;10.00;10.00; 7.58;83.17
474;Arabica;Guatemala;7.67;7.75;7.42;7.75;7.50;10.00;7.58;10.00;10.00; 7.50;83.17
475;Arabica;Honduras;7.67;7.67;7.50;7.67;7.67;10.00;7.50;10.00;10.00; 7.50;83.17
476;Arabica;China;7.50;7.67;7.33;7.67;7.67;10.00;7.67;10.00;10.00; 7.67;83.17
477;Arabica;China;7.67;7.67;7.50;7.67;7.58;10.00;7.42;10.00;10.00; 7.67;83.17
478;Arabica;El Salvador;7.50;7.50;7.33;7.67;7.67;10.00;8.00;10.00;10.00; 7.50;83.17
479;Arabica;Guatemala;7.50;7.75;7.50;7.83;7.50;10.00;7.58;10.00;10.00; 7.50;83.17
